SEQN,RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
84180,33,1,2,1,0.2
84181,35,1,4,1,0.04
84182,41,2,6,10,2.67
84183,80,2,2,7,1.23
84184,58,1,7,77,NA
84185,37,1,4,7,1.44
84186,45,1,1,15,4.98
84187,25,2,3,15,3.33
84188,61,2,2,2,0.39
84189,62,2,4,10,3.47
84190,6,1,1,6,0.61
84191,12,2,4,7,1.77
84192,27,2,2,8,1.58
84193,0,2,2,15,4.98
84194,58,2,3,14,4.99
84195,45,1,4,5,1.85
84196,32,1,6,14,1.72
84197,59,1,3,15,5
84198,12,1,2,9,1.47
84199,2,1,4,5,0.33
84200,24,2,3,9,2.55
84201,78,1,3,4,0.98
84202,19,1,4,15,5
84203,21,1,4,6,1.51
84204,10,1,7,NA,NA
84205,51,1,4,8,1.38
84206,16,1,6,15,5
84207,5,2,6,NA,NA
84208,67,2,1,2,0.82
84209,4,2,3,4,0.74
84210,13,2,6,14,1.03
84211,18,1,7,15,5
84212,67,2,2,3,0.04
84213,9,2,3,14,2.82
84214,4,2,4,10,2.46
84215,14,2,4,5,1.34
84216,65,1,3,12,NA
84217,59,2,4,9,2.88
84218,56,1,3,15,5
84219,31,1,3,7,1.81
84220,36,1,4,15,5
84221,16,2,3,8,1.83
84222,44,1,2,8,3.12
84223,1,1,3,15,5
84224,56,2,2,12,NA
84225,60,1,3,5,1.14
84226,64,1,4,5,1.19
84227,36,1,3,77,NA
84228,38,1,2,12,2.38
84229,43,2,4,3,0.75
84230,28,2,2,14,2.3
84231,75,2,7,6,2.69
84232,61,1,4,8,1.93
84233,17,1,3,7,1.48
84234,40,2,4,13,NA
84235,47,2,4,5,1.44
84236,75,1,7,2,0.78
84237,3,1,3,1,0.07
84238,25,2,4,4,1.07
84239,74,1,3,14,5
84240,0,2,4,12,1.75
84241,50,1,3,NA,NA
84242,42,2,6,15,3.87
84243,16,2,6,7,1.23
84244,0,2,1,8,1.86
84245,43,2,3,15,2.51
84246,57,2,4,7,3.48
84247,16,2,3,15,4.12
84248,29,2,4,1,0.35
84249,0,1,3,4,0.53
84250,0,1,1,8,2.23
84251,20,1,4,6,2.15
84252,10,1,4,5,0.85
84253,14,2,2,2,0.28
84254,10,2,7,10,2.67
84255,1,1,4,3,0.56
84256,63,1,3,8,2.14
84257,0,1,7,4,0.62
84258,7,2,7,7,1.17
84259,5,1,7,1,0.05
84260,60,1,6,6,1.26
84261,2,1,3,4,0.62
84262,0,2,1,10,3.12
84263,7,1,1,6,1.05
84264,61,1,4,7,1.65
84265,76,1,1,4,0.49
84266,0,2,1,4,0.44
84267,58,1,3,NA,NA
84268,2,2,2,10,2.39
84269,26,1,7,4,1.22
84270,12,1,3,2,0.25
84271,67,1,3,7,1.84
84272,11,1,3,15,5
84273,63,1,6,6,1.49
84274,11,1,3,14,2.18
84275,1,1,3,10,2.46
84276,26,2,4,5,1.02
84277,28,2,1,4,0.46
84278,14,2,2,6,1.36
84279,56,2,4,4,1.15
84280,77,1,3,7,2.51
84281,12,1,6,8,1.76
84282,18,2,1,14,3.98
84283,9,2,3,14,3.23
84284,70,2,7,6,2.16
84285,44,2,7,2,0.54
84286,13,2,1,5,1
84287,34,1,3,8,1.23
84288,10,2,3,14,2.55
84289,4,1,3,8,2.02
84290,30,1,1,8,1.69
84291,36,2,4,6,1.05
84292,54,2,6,12,NA
84293,41,1,3,15,5
84294,23,1,3,6,1.59
84295,58,2,7,3,1.18
84296,7,2,2,6,1.04
84297,12,1,4,13,NA
84298,36,2,6,15,5
84299,51,1,3,14,4.68
84300,25,2,1,99,NA
84301,72,1,7,6,1.81
84302,74,1,3,9,3.43
84303,68,2,2,10,4.39
84304,8,1,2,7,1.41
84305,36,2,1,2,0.36
84306,0,2,1,1,0.08
84307,8,1,1,4,0.38
84308,41,2,3,15,5
84309,66,1,4,NA,NA
84310,15,1,1,8,1.22
84311,47,2,2,3,0.82
84312,0,1,4,13,NA
84313,9,2,3,77,NA
84314,14,1,4,5,0.7
84315,60,1,2,15,5
84316,45,2,3,14,3.27
84317,11,2,2,8,2.48
84318,39,1,4,1,0.08
84319,57,2,3,12,NA
84320,2,1,3,10,2
84321,62,2,1,8,2.24
84322,40,1,4,99,NA
84323,21,2,4,15,3.52
84324,59,1,3,4,0.94
84325,17,2,3,10,2.76
84326,13,1,3,15,3.52
84327,63,1,4,9,2.47
84328,16,1,4,77,NA
84329,38,1,2,NA,NA
84330,14,2,1,7,1.65
84331,14,1,3,3,0.82
84332,62,2,4,2,0.6
84333,0,1,1,6,1.04
84334,2,2,3,14,3.73
84335,6,1,3,12,NA
84336,80,2,3,6,2.1
84337,7,1,7,4,0.53
84338,50,2,7,14,4.68
84339,3,2,4,8,1.38
84340,16,2,2,10,3
84341,7,1,6,14,1.03
84342,9,2,4,6,0.93
84343,3,1,1,6,1.07
84344,2,1,3,8,2.48
84345,2,1,4,2,0.25
84346,3,2,1,15,5
84347,28,2,3,6,2.78
84348,2,1,3,7,1.74
84349,39,2,3,8,2.24
84350,4,1,3,9,2.26
84351,6,2,3,15,4.63
84352,0,2,1,8,1.69
84353,54,1,6,7,1.23
84354,80,1,3,5,1.26
84355,0,2,2,1,0.02
84356,8,1,1,6,0.92
84357,25,1,1,9,3.77
84358,2,2,2,14,4.33
84359,72,2,3,12,NA
84360,55,1,4,15,5
84361,31,2,3,15,5
84362,1,2,4,5,0.84
84363,36,2,1,9,2.64
84364,27,1,1,13,NA
84365,0,1,1,2,0.31
84366,48,2,1,NA,NA
84367,0,1,4,15,5
84368,42,1,4,7,2.08
84369,31,2,6,NA,NA
84370,6,2,1,10,1.96
84371,15,1,3,7,1.23
84372,70,2,3,4,1.58
84373,0,2,1,14,3.72
84374,74,2,4,7,1.79
84375,60,1,1,4,0.41
84376,55,1,1,6,2.55
84377,70,1,4,99,NA
84378,45,2,4,8,1.1
84379,35,1,1,10,2.88
84380,35,1,3,3,0.38
84381,80,1,4,6,1.87
84382,16,1,2,5,0.61
84383,32,2,7,15,5
84384,34,1,6,14,3.7
84385,18,1,3,7,1.44
84386,0,2,3,15,5
84387,4,1,3,5,0.99
84388,65,1,2,7,2.51
84389,66,2,3,15,5
84390,33,1,2,6,0.94
84391,18,1,3,14,4.58
84392,53,2,6,77,NA
84393,35,1,2,15,5
84394,45,2,2,7,1.23
84395,25,2,3,6,1.24
84396,38,2,1,7,1.65
84397,2,1,3,6,1.31
84398,38,1,3,6,2.61
84399,17,2,3,15,5
84400,60,2,1,3,0.7
84401,19,2,4,99,NA
84402,27,2,2,5,0.08
84403,61,1,3,15,5
84404,31,1,3,10,2.88
84405,33,1,6,1,0
84406,9,1,2,12,NA
84407,5,2,3,9,1.22
84408,4,2,2,7,2.5
84409,47,2,3,6,1.03
84410,28,2,2,5,0.59
84411,23,1,3,NA,NA
84412,25,2,1,4,0.97
84413,41,1,6,15,5
84414,16,1,3,10,2.29
84415,2,2,2,15,3.53
84416,8,1,4,15,4.12
84417,18,2,6,15,4.22
84418,75,1,1,4,1.13
84419,35,2,1,8,2.06
84420,27,1,4,8,1.67
84421,12,1,2,5,1.51
84422,6,1,2,7,0.81
84423,59,1,3,2,0.49
84424,69,1,3,6,2.12
84425,51,2,7,2,0.76
84426,51,1,6,15,4.12
84427,64,1,4,10,3.47
84428,3,1,3,12,NA
84429,45,2,4,77,NA
84430,9,1,6,14,2
84431,46,1,1,9,2.64
84432,9,1,2,14,3.72
84433,18,1,4,8,1.98
84434,31,1,3,77,NA
84435,80,2,3,6,2.53
84436,16,1,1,9,2.31
84437,48,2,4,12,NA
84438,9,2,3,15,5
84439,10,2,1,6,0.99
84440,30,2,7,10,1.7
84441,51,2,4,12,NA
84442,34,2,3,NA,NA
84443,64,1,7,6,1.82
84444,36,2,2,15,3.99
84445,9,1,4,8,1.1
84446,14,1,4,6,1.69
84447,77,1,3,15,5
84448,26,2,6,15,5
84449,3,1,3,14,3.41
84450,18,2,1,5,0.99
84451,51,1,1,15,4.42
84452,56,2,3,4,1.46
84453,26,1,1,8,1.96
84454,60,2,4,6,0.77
84455,66,2,2,3,0.96
84456,42,2,6,8,1.76
84457,19,2,3,6,2.63
84458,0,1,4,4,0.97
84459,31,2,6,14,3.22
84460,14,1,1,12,NA
84461,15,2,1,15,3.99
84462,35,2,1,2,0.18
84463,59,1,6,15,5
84464,69,1,4,7,3.54
84465,7,2,3,7,1.23
84466,19,2,1,2,0.08
84467,28,1,6,NA,NA
84468,15,1,4,8,2.14
84469,62,2,4,14,3.97
84470,23,1,6,2,0.68
84471,74,2,2,15,5
84472,2,1,3,4,0.68
84473,22,2,3,8,2.27
84474,3,1,4,5,0.84
84475,25,1,3,6,1.49
84476,16,2,3,8,1.23
84477,16,1,3,8,2.06
84478,6,1,4,9,2.37
84479,55,2,6,8,3.06
84480,79,2,7,6,1.87
84481,72,1,1,4,0.98
84482,58,2,4,10,5
84483,4,1,2,8,1.85
84484,6,2,2,4,0.75
84485,24,2,4,4,0.65
84486,0,2,1,14,3.2
84487,24,2,3,9,2.2
84488,54,1,3,5,1.7
84489,0,2,3,12,NA
84490,28,2,1,15,4.57
84491,6,2,4,77,NA
84492,37,1,4,9,2.03
84493,44,2,4,2,0.68
84494,22,2,2,6,1.24
84495,53,2,3,6,1.57
84496,51,1,1,3,0
84497,2,2,2,6,1.16
84498,57,2,3,15,5
84499,56,1,6,7,1.41
84500,54,2,3,15,5
84501,7,2,1,4,0.68
84502,56,1,6,14,2.76
84503,55,1,7,15,5
84504,0,2,1,4,0.58
84505,23,2,3,8,1.57
84506,0,2,4,2,0.29
84507,1,2,2,3,0.49
84508,2,1,6,15,5
84509,13,2,4,1,0.15
84510,11,1,6,NA,NA
84511,78,2,3,14,5
84512,9,1,4,1,0.04
84513,65,2,2,9,5
84514,41,1,1,6,0.61
84515,10,2,1,5,0.75
84516,0,2,1,15,3.07
84517,80,2,3,14,4.77
84518,11,1,2,6,0.94
84519,2,2,1,10,2.67
84520,1,1,3,15,5
84521,1,2,3,10,2.88
84522,19,2,2,NA,NA
84523,0,1,3,8,2.48
84524,16,2,3,9,2.35
84525,44,1,2,NA,NA
84526,1,2,2,1,0.11
84527,1,2,3,15,5
84528,5,2,4,15,2.72
84529,60,2,1,8,4.21
84530,80,1,3,4,1.44
84531,2,1,7,5,0.99
84532,23,2,1,6,1.49
84533,11,2,1,8,1.65
84534,62,2,1,8,1.47
84535,21,2,3,10,2.89
84536,31,1,1,6,2.46
84537,34,1,6,4,0.94
84538,2,1,4,3,0.35
84539,25,2,3,13,NA
84540,18,2,4,6,2.01
84541,6,2,2,9,3.14
84542,31,2,1,6,1.05
84543,56,1,1,7,2.7
84544,2,1,2,13,NA
84545,47,1,3,7,3.57
84546,61,2,1,6,1.54
